INPUT:input	OUTPUT:answer	OUTPUT:rating	OUTPUT:feedback	OUTPUT:Skylar_do	OUTPUT:Skylar_feel	OUTPUT:rationale_1	OUTPUT:rationale_2	OUTPUT:rationale_3	OUTPUT:rationale_4	OUTPUT:rationale_5	OUTPUT:answer_show_up	OUTPUT:agree_with_ai_1	OUTPUT:agree_with_ai_2	OUTPUT:agree_with_ai_3	OUTPUT:agree_with_ai_4	OUTPUT:agree_with_ai_5	OUTPUT:last_page_screenshot	OUTPUT:rationale_1_original	OUTPUT:rationale_2_original	OUTPUT:rationale_3_original	OUTPUT:rationale_4_original	OUTPUT:rationale_5_original	OUTPUT:answer_Connect with the local team leader	GOLDEN:answer	GOLDEN:rating	GOLDEN:feedback	GOLDEN:Skylar_do	GOLDEN:Skylar_feel	GOLDEN:rationale_1	GOLDEN:rationale_2	GOLDEN:rationale_3	GOLDEN:rationale_4	GOLDEN:rationale_5	GOLDEN:answer_show_up	GOLDEN:agree_with_ai_1	GOLDEN:agree_with_ai_2	GOLDEN:agree_with_ai_3	GOLDEN:agree_with_ai_4	GOLDEN:agree_with_ai_5	GOLDEN:rationale_1_original	GOLDEN:rationale_2_original	GOLDEN:rationale_3_original	GOLDEN:rationale_4_original	GOLDEN:rationale_5_original	GOLDEN:answer_Connect with the local team leader	HINT:text	HINT:default_language	ASSIGNMENT:link	ASSIGNMENT:task_id	ASSIGNMENT:assignment_id	ASSIGNMENT:worker_id	ASSIGNMENT:status	ASSIGNMENT:started	ACCEPT:verdict	ACCEPT:comment
test	show_up	10.0	i think you do good job.	elated		AI give very good answer for this ways		again AI give very good answer for this ways		again i think that AI give very good answer for this ways	confident	Yes		Yes		Yes	eu.cc9a1a71-2616-4e85-b506-32df08f9e381	it was right way like i think this one		i was saw what will be next from this way		i think i choose right way for this game																										https://platform.toloka.ai/task/39729433/00025e3919--649029d65ed3fa3a01bd2064	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649029d65ed3fa3a01bd2064	a97b0faa080abe4b5805056d3d4b704c	REJECTED	2023-06-19T10:11:34.822	-	no rationale given
																																																							
test	show_up	9.0	you good		Feel inferior	i think AI made good job and say every think right too		again i think AI made good job and say every think right too	again i think AI made good job and say every think right too		embarrassed	Yes		Yes	Yes		eu.6fb5e138-10be-4068-b169-af90b2d41ae1	it was more interesting for me and i choose thiw way		for me was interesting what will be next from this way	i just wanna saw what will be on this way																											https://platform.toloka.ai/task/39729433/00025e3919--649029dcb7d5407ce6df938b	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--649029dcb7d5407ce6df938b	31aa51a02e4209ac74447a9c69b0e832	REJECTED	2023-06-19T10:11:40.135	-	no rationale given
																																																							
test	show_up	2.0	I think that they should give their ads on tv.	Experience nervousness about showcasing his abilities		Because they gave interesting games to the younger		because it is well for new generations.		because I think that this is well website.	confident	Yes		Yes		Yes	eu.7645cf85-7a83-4183-98a8-d47c9379fb07	Because I think they are growing slowly.		Because they are working to built the child's mind faster to play this type of games		because  the members of this website is not to much famous.																										https://platform.toloka.ai/task/39729433/00025e3919--64902a3041bb284d150d7a12	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902a3041bb284d150d7a12	df48f3d1610f34ab7c5f435ac0adc650	REJECTED	2023-06-19T10:13:04.263	-	no rationale given
																																																							
test	Connect with the local team leader	5.0	I think they should work on creativity and graphic for amazing user experience.			no.This is because its the next move in the game.After playing the game i found that skylar is very confident in doing whatever is required of her.	no This is because its the next move in the game. After playing the game i found that Skylar is very confident in doing whatever is required of her.					Yes	no				eu.96dd8e14-113b-4181-bd30-a8c199f6cc06	This is because its the next move in the game.After playing the game i found that skylar is very confident in doing whatever is required of her.	it was secondThis is because its the next move in the game.After playing the game i found that skylar is very confident in doing whatever is required of her.				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--64902a3538c9c356156b692f	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902a3538c9c356156b692f	55dd7c580a37996ed4ec87c88d511a9f	REJECTED	2023-06-19T10:13:09.884	-	rationale not adequate
																																																							
test	show_up	3.0	                 	Experience nervousness about showcasing his abilities		                                            		                                                            		                                                           	confident	Yes		Yes		Yes	eu.c41fa4e7-13e4-4366-a918-88a718e6919d	                                          		                                                           		                                                                                                      																										https://platform.toloka.ai/task/39729433/00025e3919--64902a4b3e2de917d0fd3f7a	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902a4b3e2de917d0fd3f7a	f84a203b61e06b8479785682be6ae838	REJECTED	2023-06-19T10:13:31.677	-	no rationale given
																																																							
test	show_up	3.0	"A) Show up in practice directly 
- Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly.
"		Furious	"A) Show up in practice directly 
- Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly.
"		"A) Show up in practice directly 
- Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly.
"	"A) Show up in practice directly 
- Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly.
"		embarrassed	no		Yes	Yes		eu.16c365b5-cec0-4ff5-ba39-85218c08983f	"A) Show up in practice directly 
- Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly.
"		"A) Show up in practice directly 
- Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly.
"	"A) Show up in practice directly 
- Skylar's desire to make playing soccer more interesting suggests they would take the initiative to join the local team by attending practice directly.
"																											https://platform.toloka.ai/task/39729433/00025e3919--64902a5e984c5f019e8a202a	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902a5e984c5f019e8a202a	10570c089cb74ce11ea89e1748bd2d49	REJECTED	2023-06-19T10:13:50.209	-	copied rationale
																																																							
test	show_up	8.0	"
very beautiful characters"	elated		"
I feel the same as the AI"		I feel the same as the AI		"
I would like to show myself
"	confident	Yes		Yes		Yes	eu.c3e82165-2bad-45ea-933f-36325bbd1b02	"that sound like me, 
i would do the same"		I imagine myself in her place		I feel the same as the AI																										https://platform.toloka.ai/task/39729433/00025e3919--64902a6da5f63b7de4583977	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902a6da5f63b7de4583977	b9e5c84239347b43f3f0bef365af6189	REJECTED	2023-06-19T10:14:05.866	-	no rationale given
																																																							
test	show_up	6.0	did not see a main angle to the story.	elated		Suggested rational makes sense		i agree wholly with the ais perspective		i agree wholly with the ais perspective	confident	Yes		Yes		Yes	eu.a0ffa96d-282f-4026-9bd6-7d4cf564bca2	its easier to face fears upfront		being confident inspires confidence		being gracious and showing it to the team inspires trust and confidence																										https://platform.toloka.ai/task/39729433/00025e3919--64902ce65ed3fa3a01bdc18e	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902ce65ed3fa3a01bdc18e	75516f67e6f0a9c199c61f36433f4f58	REJECTED	2023-06-19T10:24:38.174	-	Too many agreements on the AI's rationales without writing one's own rationales
																																																							
test	Connect with the local team leader	10.0	Its a good game			It gave a correct judgement 	It was correct judgement 					Yes	Yes				eu.fcc7f72c-64b0-4fa1-bae9-d6ac762f5e0e	"So that she may inquire about joining the team 
She will also learn when it is best to attend practice"	Because it was against the ethics for the team leader to demand for a bribe 				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--64902efe56495e26f437b9fe	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902efe56495e26f437b9fe	1dac5ba74106bc653bbcda4ba6e237b9	REJECTED	2023-06-19T10:33:34.693	-	"Rationale is not about ""I agree/disagree with the AI rationale"""
																																																							
test	show_up	8.0	I dont really like novel games,  but  it will be good for people that loves such games style. Music is good		Furious	all is good there, ai thinks even better than me		ai thinks almost like me, cant provide any thought sorry	ai could be more tougher in words there, but i agree with it		embarrassed	Yes		Yes	Yes		eu.875d8e40-67b9-422a-9704-09e23939bd41	cause i like action, and many ppl do the same		"cause girl at football taem so unexpectedly
 "	they blame Skylar, why should she be inferior?																											https://platform.toloka.ai/task/39729433/00025e3919--64902f9eca100c5a47bc414a	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64902f9eca100c5a47bc414a	dcc4b3ccafa91491b2caea6634adcab8	REJECTED	2023-06-19T10:36:14.015	-	"Rationales are all ""AI is good"", without one's own writings"
																																																							
test	Connect with the local team leader	6.0	"I think it isn't easy for some people
"			he should contact with an expert before doing anything	because the team leader ask him to do unethical things					Yes	Yes				eu.ea797be4-cb40-43e7-989b-f05c7520647a	I think it is the correct option	because the team leader ask him to do unethical things				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--6490310e41f42b7dcbbce765	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--6490310e41f42b7dcbbce765	3aba8d436f5e743186930974cd21848d	REJECTED	2023-06-19T10:42:22.035	-	Rationale is insufficient
																																																							
test	show_up	8.0	I like this task of it 😂 can be a cyclist cygvv in contact krain very cc your account is fyp a jae phir vc ministers can come coycogcoyoy video can be contacted on c		Feel inferior	I like this task force 🙂 can come check via FedEx courier g		I like this task on the same hoga can you play the 	I like this Task CV very very very close 🙂 can gy gyv		embarrassed	Yes		Yes	Yes		eu.84187caf-9085-44a2-9098-08bba09dff71	I like this task 🙂 ccycotcoycoycoyc in c 		I like this task upcycle cgypvvvc	I like this task Oct cycling class can come check via vyc																											https://platform.toloka.ai/task/39729433/00025e3919--6490320f3e2de917d0ff65f3	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--6490320f3e2de917d0ff65f3	76dfa6f381e9aab742c8220549f1ea77	REJECTED	2023-06-19T10:46:39.493	-	rationale with full nonsense. can't be accepted at all
																																																							
test	show_up	8.0	Thank you	elated		Right, I agree with that example		The game showed not exactly what it was, but almost, so I agree		It`s right to the game, I agree	confident	Yes		no		Yes	eu.0339b112-62c7-4ea3-bfbf-3a795054fcfb	It`s first, so why not to choose this?		Because you need to feel confident when showing your skills		Because she was chosen, it makes her feel elated																										https://platform.toloka.ai/task/39729433/00025e3919--64903437645f70543bad75ee	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64903437645f70543bad75ee	a7225cc1fc1d35f3bb0b9b8bf6ee8c64	REJECTED	2023-06-19T10:55:51.654	-	Your rationale is insufficient, so why not reject this?
																																																							
test	Connect with the local team leader	8.0	Good effort keep it up			First connect team leader and then go for practice after his approval	team leader behavior is not good thats why i choose this option					no	Yes				eu.d5b7e2a2-fcef-4b6d-9632-a5ef34582dce	First connect team leader and then go for practice	team leader behavior is not good thats why i choose this option				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--64903f59b6854616dc1b1f3e	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64903f59b6854616dc1b1f3e	55c31e558391b3941b49aa5ecb73445b	REJECTED	2023-06-19T11:43:21.224	-	Insufficient Rationales
																																																							
test	Connect with the local team leader	7.0	hm			i am agree with that description	i am agree with that description					Yes	Yes				eu.911ac3b1-1593-40b7-9131-1171f3840d2a	because it's more preferred to me	i am interesting in what skylar will do next				report_bribery																									https://platform.toloka.ai/task/39729433/00025e3919--6490431a3e2de917d002e65a	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--6490431a3e2de917d002e65a	455e3a2111dc76524e3e6243bdf37427	REJECTED	2023-06-19T11:59:22.234	-	Insufficient Rationales
																																																							
test	show_up	7.0	It looks like a very pretty game for a younger audience.	elated		I agree with the AI response, I believe it makes very much sense.		Both answers make very much sense and I agree with both explanations.		The feelings described by the AI for both responses make very much sense and I believe both are valid. 	confident	Yes		Yes		Yes	eu.4361e196-3307-458a-b3de-046a38804cc4	I choose this option because I like the feeling of making the game more active and it gives me a better initiation in the game. 		I choose confident because that is how I would prefer to feel if I was in her shoes. 		She was accepted quickly and she demonstrated her abilities very good which leads me to think she should be happy about it. 																										https://platform.toloka.ai/task/39729433/00025e3919--64904360a5f63b7de45f67f2	08fb30ff-8dbd-45dc-a721-2227470f0e3a	00025e3919--64904360a5f63b7de45f67f2	7114c09e6019f84ada729a9e64a30791	REJECTED	2023-06-19T12:00:32.643	-	Insufficient Rationales
																																																							
